Id,Toponyms,Type,Period,StartDate,EndDate,Longitude,Latitude,LocQual,SizeHa,SizeQual,Source,Source_id
65,Piscina della Farna,settlement,Iron Age,-700,-600,12.72617302,41.48247128,A,0.04,E,"Attema et al. 2011, p. 206",11284
65,Piscina della Farna,settlement,Archaic Period,-500,-350,12.72617302,41.48247128,A,0.04,E,"Attema et al. 2011, p. 206",11284
65,Piscina della Farna,settlement,Republican Period,-250,-30,12.72617302,41.48247128,A,0.04,E,"Attema et al. 2011, p. 206",11284
65,Piscina della Farna,settlement,Imperial Period,-30,100,12.72617302,41.48247128,A,0.04,E,"Attema et al. 2011, p. 206",11284
66,Piscina dell Farna,settlement,Roman Period,-350,400,12.71650079,41.48310114,A,0.1,F,"Attema et al. 2011, p. 206",11285
67,Tre Cancelli,settlement,Imperial Period,-30,250,12.71046172,41.48322963,A,0.1,F,"Attema et al. 2011, p. 206",11286
68,Cadolino,settlement,Imperial Period,-30,250,12.66867128,41.49044988,A,0.1,F,"Attema et al. 2011, p. 207",15001
69,Cadolino,settlement,Imperial Period,-30,250,12.66720553,41.49338137,A,0.1,F,"Attema et al. 2011, p. 207",15002
70,Cadolino,settlement,Iron Age,-800,-700,12.66256558,41.49259615,A,1,E,"Attema et al. 2011, p. 207",15003
70,Cadolino,settlement,Imperial Period,-30,250,12.66256558,41.49259615,A,1,E,"Attema et al. 2011, p. 207",15003
71,Ospedaletto,settlement,Archaic Period,-600,-500,12.65956746,41.49626052,A,0.2,F,"Attema et al. 2011, p. 207",15004
71,Ospedaletto,settlement,Post-Archaic Period,-500,-350,12.65956746,41.49626052,A,0.2,F,"Attema et al. 2011, p. 207",15004
71,Ospedaletto,settlement,Republican Period,-250,-30,12.65956746,41.49626052,A,0.2,F,"Attema et al. 2011, p. 207",15004
71,Ospedaletto,settlement,Republican Period,-30,400,12.65956746,41.49626052,A,0.2,F,"Attema et al. 2011, p. 207",15004
72,Piscina Cardillo,settlement,Bronze Age,-1700,-1020,12.67667398,41.50182264,A,0.2,F,"Attema et al. 2011, p. 208",15005
72,Piscina Cardillo,settlement,Archaic Period,-600,-500,12.67667398,41.50182264,A,0.2,F,"Attema et al. 2011, p. 208",15005
72,Piscina Cardillo,settlement,Post-Archaic Period,-500,-350,12.67667398,41.50182264,A,0.2,F,"Attema et al. 2011, p. 208",15005
72,Piscina Cardillo,settlement,Republican Period,-350,-30,12.67667398,41.50182264,A,0.2,F,"Attema et al. 2011, p. 208",15005
72,Piscina Cardillo,settlement,Imperial Period,-30,250,12.67667398,41.50182264,A,0.2,F,"Attema et al. 2011, p. 208",15005
73,Campana,settlement,Bronze Age,-1700,-1020,12.67157242,41.50599145,A,0.2,F,"Attema et al. 2011, p. 208",15007
74,Campana,settlement,Imperial Period,-30,100,12.67333322,41.50994136,A,0.1,F,"Attema et al. 2011, p. 208",15008
74,Campana,settlement,Imperial Period,100,400,12.67333322,41.50994136,A,0.1,F,"Attema et al. 2011, p. 208",15008
75,Campana,settlement,Middle Bronze Age,-1700,-1350,12.67140349,41.50500759,A,1,E,"Attema et al. 2011, p. 209",15010
76,Campana,settlement,Archaic Period,-600,-500,12.66481714,41.50519795,A,1,E,"Attema et al. 2011, p. 209",15014
76,Campana,settlement,Republican Period,-350,-30,12.66481714,41.50519795,A,1,E,"Attema et al. 2011, p. 209",15014
76,Campana,settlement,Imperial Period,-30,400,12.66481714,41.50519795,A,1,E,"Attema et al. 2011, p. 209",15014
76,Campana,settlement,Late Antique/Early Medieval,400,700,12.66481714,41.50519795,A,1,E,"Attema et al. 2011, p. 209",15014
77,Campana,settlement,Republican Period,-100,-30,12.66301292,41.50105751,A,0.2,F,"Attema et al. 2011, p. 210",15015
77,Campana,settlement,Republican Period,-30,100,12.66301292,41.50105751,A,0.2,F,"Attema et al. 2011, p. 210",15015
78,Torre del Monumento,settlement,Republican Period,-350,-250,12.65781329,41.49440306,A,0.4,F,"Attema et al. 2011, p. 211",15019
78,Torre del Monumento,settlement,Republican Period,-250,-100,12.65781329,41.49440306,A,0.4,F,"Attema et al. 2011, p. 211",15019
78,Torre del Monumento,settlement,Imperial Period,-30,400,12.65781329,41.49440306,A,0.4,F,"Attema et al. 2011, p. 211",15019
78,Torre del Monumento,settlement,Late Antique/Early Medieval,400,600,12.65781329,41.49440306,A,0.4,F,"Attema et al. 2011, p. 211",15019
79,Torre del Monumento,settlement,Post-Archaic Period,-500,-350,12.65756872,41.49393817,A,0.1,F,"Attema et al. 2011, p. 211",15020
79,Torre del Monumento,settlement,Republican Period,-350,-100,12.65756872,41.49393817,A,0.1,F,"Attema et al. 2011, p. 211",15020
79,Torre del Monumento,settlement,Imperial Period,-30,250,12.65756872,41.49393817,A,0.1,F,"Attema et al. 2011, p. 211",15020
80,,settlement,Roman,-350,400,12.65602207,41.48994067,A,0.1,F,"Attema et al. 2011, p. 211",15021
81,Pineta della Campana,settlement,Iron Age,-700,-600,12.67064443,41.51374849,A,0.08,E,"Attema et al. 2011, p. 213",15029
81,Pineta della Campana,settlement,Archaic Period,-600,-500,12.67064443,41.51374849,A,0.08,E,"Attema et al. 2011, p. 213",15029
81,Pineta della Campana,settlement,Republican Period,-250,-30,12.67064443,41.51374849,A,0.08,E,"Attema et al. 2011, p. 213",15029
81,Pineta della Campana,settlement,Imperial Period,-300,400,12.67064443,41.51374849,A,0.08,E,"Attema et al. 2011, p. 213",15029
82,Pineta della Campana,settlement,Roman,-350,400,12.66978782,41.51403403,A,0.1,F,"Attema et al. 2011, p. 213",15030
83,Campana,settlement,Iron Age,-800,-700,12.67069202,41.5088468,A,0.1,F,"Attema et al. 2011, p. 214",15032
84,Piscina Cardillo,settlement,Iron Age,-800,-700,12.67650266,41.50483503,A,0.1,F,"Attema et al. 2011, p. 214",15033
85,Campana,settlement,Archaic Period,-600,-500,12.67004956,41.50255075,A,0.09,E,"Attema et al. 2011, p. 214",15034
85,Campana,settlement,Post-Archaic Period,-500,-350,12.67004956,41.50255075,A,0.09,E,"Attema et al. 2011, p. 214",15034
86,Campana,settlement,Roman Period,-350,400,12.65041901,41.51190203,A,0.1,F,"Attema et al. 2011, p. 215",15035
87,Campana,settlement,Iron Age,-800,-700,12.66219021,41.50325631,A,0.8,E,"Attema et al. 2011, p. 215",15036
87,Campana,settlement,Archaic Period,-500,-350,12.66219021,41.50325631,A,0.8,E,"Attema et al. 2011, p. 215",15036
87,Campana,settlement,Republican Period,-250,-30,12.66219021,41.50325631,A,0.8,E,"Attema et al. 2011, p. 215",15036
87,Campana,settlement,Imperial Period,-30,250,12.66219021,41.50325631,A,0.8,E,"Attema et al. 2011, p. 215",15036
88,Opsedaletto,settlement,Roman,-350,400,12.659853,41.49863998,A,0.1,F,"Attema et al. 2011, p. 215",15037
89,Campana,settlement,Post-Archaic Period,-500,-350,12.67122978,41.50062815,A,0.1,F,"Attema et al. 2011, p. 216",15038
89,Campana,settlement,Republican Period,-350,-100,12.67122978,41.50062815,A,0.1,F,"Attema et al. 2011, p. 216",15038
89,Campana,settlement,Imperial Period,100,250,12.67122978,41.50062815,A,0.1,F,"Attema et al. 2011, p. 216",15038
90,Ospedaletto,settlement,Roman,-350,400,12.66147817,41.49991537,A,0.1,F,"Attema et al. 2011, p. 216",15039
91,Piscina Cardillo,settlement,Iron Age,-700,-600,12.69549616,41.49578295,A,0.1,F,"Attema et al. 2011, p. 216",15040
92,Piscina Cardillo,settlement,Roman,-350,400,12.68683492,41.49566874,A,0.1,F,"Attema et al. 2011, p. 216",15041
93,Loricina,settlement,Iron Age,-800,-700,12.67345292,41.47585076,A,0.1,F,"Attema et al. 2011, p. 217",15044
94,Intossicata,settlement,Roman,-350,400,12.72789813,41.48248317,A,0.1,F,"Attema et al. 2011, p. 217",15046
95,Intossicata,settlement,Roman,-350,400,12.73127459,41.47640127,A,0.1,F,"Attema et al. 2011, p. 217",15047
96,I Marmi,settlement,Republican Period,-350,-30,12.64169771,41.46804772,A,0.1,F,"Attema et al. 2011, p. 218",15049
97,Contrada Tinozzi,settlement,Republican Period,-350,400,12.6562957,41.4716526,A,0.1,F,"Attema et al. 2011, p. 218",15050
98,Pantano Granieri,settlement,Republican Period,-350,-30,12.70323625,41.46173509,A,0.1,F,"Attema et al. 2011, p. 218",15051
99,Nettuno,settlement,Roman,-350,400,12.65672401,41.45816106,A,0.1,F,"Attema et al. 2011, p. 219",15052
100,Nettuno,settlement,Roman,-350,400,12.65915106,41.45718548,A,0.1,F,"Attema et al. 2011, p. 219",15053
102,Nettuno,settlement,Roman,-350,400,12.66134016,41.45742343,A,0.1,F,"Attema et al. 2011, p. 220",15058
103,Nettuno,settlement,Roman,-350,400,12.66193503,41.45861316,A,0.1,F,"Attema et al. 2011, p. 220",15057
104,Nettuno,settlement,Roman,-350,400,12.67899576,41.4548655,A,0.1,F,"Attema et al. 2011, p. 220",15057
105,,settlement,Roman,-350,400,12.69452174,41.46054052,A,0.1,F,"Attema et al. 2011, p. 221",15060
101,Loricina,settlement,Roman,-350,400,12.66509971,41.46161128,A,0.1,F,"Attema et al. 2011, p. 220",15056
106,Campana,settlement,Roman,-350,400,12.64771075,41.5122833,A,0.1,F,"Attema et al. 2011, p. 221",15066
107,Campana,settlement,Roman,-350,400,12.6514465,41.51009419,A,0.1,F,"Attema et al. 2011, p. 221",15067
108,Campana,settlement,Bronze Age,-1700,-1350,12.67245282,41.50297905,A,0.1,E,"Attema et al. 2011, p. 222",15068
109,Campana,settlement,Iron Age,-700,-600,12.67245282,41.50297905,A,0.1,E,"Attema et al. 2011, p. 222",15068
110,Campana,settlement,Post-Archaic Period,-500,-350,12.67245282,41.50297905,A,0.1,E,"Attema et al. 2011, p. 222",15068
111,Campana,settlement,Republican Period,-350,-30,12.67245282,41.50297905,A,0.1,E,"Attema et al. 2011, p. 222",15068
112,Laghetto Granieri,settlement,Roman,-350,400,12.70150642,41.46912184,A,0.1,F,"Attema et al. 2011, p. 222",15069
113,Loricina,settlement,Republican Period,-100,-30,12.66847854,41.46153989,A,0.1,F,"Attema et al. 2011, p. 222",15070
113,Loricina,settlement,Republican Period,-30,250,12.66847854,41.46153989,A,0.1,F,"Attema et al. 2011, p. 222",15070
114,Villa Borghese,settlement,Iron Age,-700,-600,12.64769395,41.45587678,A,0.1,F,"Attema et al. 2011, p. 222",15072
114,Villa Borghese,settlement,Archaic Period,-600,-500,12.64769395,41.45587678,A,0.1,F,"Attema et al. 2011, p. 222",15072
114,Villa Borghese,settlement,Republican Period,-350,-30,12.64769395,41.45587678,A,0.1,F,"Attema et al. 2011, p. 222",15072
114,Villa Borghese,settlement,Imperial Period,-30,250,12.64769395,41.45587678,A,0.1,F,"Attema et al. 2011, p. 222",15072
115,Cerreto Regina Margherita,settlement,Iron Age,-800,-600,12.70179195,41.47602228,A,0.1,F,"Attema et al. 2011, p. 223",15073
116,,settlement,Iron Age,-800,-600,12.72854896,41.45544142,A,0.1,F,"Attema et al. 2011, p. 223",15074
117,Pantano Potassa,settlement,Iron Age,-800,-600,12.71158816,41.45886784,A,0.1,F,"Attema et al. 2011, p. 223",15075
118,Spinacceto,settlement,Archaic Period,-600,-500,12.73911134,41.46744498,A,0.1,F,"Attema et al. 2011, p. 224",15076
119,Campana,settlement,Middle Bronze Age,-1700,-1350,12.67391857,41.51216853,A,0.1,F,"Attema et al. 2011, p. 224",15078
119,Campana,settlement,Imperial Period,-30,100,12.67391857,41.51216853,A,0.1,F,"Attema et al. 2011, p. 224",15078
120,Campo Cerreto,settlement,Iron Age,-600,-500,12.69039871,41.50382702,A,0.1,F,"Attema et al. 2011, p. 224",15079
121,Campana,settlement,Imperial Period,-30,400,12.65406391,41.51101623,A,0.1,F,"Attema et al. 2011, p. 224",15080
122,Campana,settlement,Republican Period,-350,-100,12.66973737,41.50070885,A,1,F,"Attema et al. 2011, p. 225",15081
123,Cadolino,settlement,Republican Period,-350,-30,12.66803834,41.49473767,A,0.2,F,"Attema et al. 2011, p. 225",15082
123,Cadolino,settlement,Imperial Period,-30,250,12.66803834,41.49473767,A,0.2,F,"Attema et al. 2011, p. 225",15082
123,Cadolino,settlement,Republican Period,-350,-30,12.67412976,41.49304825,A,0.2,F,"Attema et al. 2011, p. 225",15083
123,Cadolino,settlement,Imperial Period,-30,400,12.67412976,41.49304825,A,0.2,F,"Attema et al. 2011, p. 225",15083
124,I Cioccatti,settlement,Republican Period,-100,-30,12.64855056,41.48068266,A,0.1,F,"Attema et al. 2011, p. 226",15043
124,I Cioccatti,settlement,Imperial Period,-30,400,12.64855056,41.48068266,A,0.1,F,"Attema et al. 2011, p. 226",15043
125,I Cioccatti,settlement,Republican Period,-100,-30,12.65062069,41.48196757,A,0.1,F,"Attema et al. 2011, p. 226",15063
125,I Cioccatti,settlement,Imperial Period,-30,400,12.65062069,41.48196757,A,0.1,F,"Attema et al. 2011, p. 226",15063
126,I Cioccatti,settlement,Republican Period,-100,-30,12.64898362,41.48259574,A,0.1,F,"Attema et al. 2011, p. 226",15062
126,I Cioccatti,settlement,Imperial Period,-30,400,12.64898362,41.48259574,A,0.1,F,"Attema et al. 2011, p. 226",15062
127,I Cioccatti,settlement,Republican Period,-100,-30,12.64997348,41.48293839,A,0.1,F,"Attema et al. 2011, p. 226",15064
127,I Cioccatti,settlement,Imperial Period,-30,400,12.64997348,41.48293839,A,0.1,F,"Attema et al. 2011, p. 226",15064
128,I Cioccatti,settlement,Republican Period,-100,-30,12.6509443,41.48349042,A,0.1,F,"Attema et al. 2011, p. 226",15065
128,I Cioccatti,settlement,Republican Period,-30,400,12.6509443,41.48349042,A,0.1,F,"Attema et al. 2011, p. 226",15065
129,I Cioccatti,settlement,Republican Period,-100,-30,12.6509443,41.4841186,A,0.1,F,"Attema et al. 2011, p. 226",15042
129,I Cioccatti,settlement,Imperial Period,-30,400,12.6509443,41.4841186,A,0.1,F,"Attema et al. 2011, p. 226",15042
130,Scopone,settlement,Iron Age,-700,-600,12.70649577,41.50507623,A,0.1,F,"Attema et al. 2011, p. 226",15102
131,Scopone,settlement,Iron Age,-800,-600,12.70128475,41.49932983,A,0.01,E,"Attema et al. 2011, p. 227",15103
132,Zucchetti,settlement,Archaic Period,-600,-500,12.66323495,41.48358296,A,0.4,E,"Attema et al. 2011, p. 227",15106
132,Zucchetti,settlement,Post-Archaic Period,-500,-350,12.66323495,41.48358296,A,0.4,E,"Attema et al. 2011, p. 227",15106
132,Zucchetti,settlement,Republican Period,-350,-30,12.66323495,41.48358296,A,0.4,E,"Attema et al. 2011, p. 227",15106
132,Zucchetti,settlement,Archaic Period,-30,250,12.66323495,41.48358296,A,0.4,E,"Attema et al. 2011, p. 227",15106
133,Zucchetti,settlement,Iron Age,-800,-600,12.66797484,41.48261214,A,0.4,E,"Attema et al. 2011, p. 227",15107
133,Zucchetti,settlement,Republican Period,-100,-30,12.66797484,41.48261214,A,0.4,E,"Attema et al. 2011, p. 227",15107
133,Zucchetti,settlement,Imperial Period,-30,250,12.66797484,41.48261214,A,0.4,E,"Attema et al. 2011, p. 227",15107
133,Zucchetti,settlement,Late Antique/Early Medieval,400,500,12.66797484,41.48261214,A,0.4,E,"Attema et al. 2011, p. 227",15107
134,,settlement,Iron Age,-800,-600,12.67117283,41.48533424,A,0.3,E,"Attema et al. 2011, p. 228",15108
134,,settlement,Archaic Period,-600,-500,12.67117283,41.48533424,A,0.3,E,"Attema et al. 2011, p. 228",15108
134,,settlement,Post-Archaic Period,-500,-350,12.67117283,41.48533424,A,0.3,E,"Attema et al. 2011, p. 228",15108
